name,Predicted Points,position,team,value,total_points
Thiago Emiliano da Silva,96.78314,DEF,Chelsea,5.0,98
Rúben Gato Alves Dias,95.67114,DEF,Man City,5.5,88
Timothy Castagne,95.26358,DEF,Fulham,4.5,103
Tyrick Mitchell,92.699615,DEF,Crystal Palace,4.5,104
Nathan Collins,81.82974,DEF,Brentford,4.5,84
Adam Smith,80.04515,DEF,Bournemouth,4.4,80
Ezri Konsa Ngoyo,79.165054,DEF,Aston Villa,4.5,83
Kurt Zouma,77.98661,DEF,West Ham,4.5,76
Toti António Gomes,76.632,DEF,Wolves,4.4,80
Dara O'Shea,73.61102,DEF,Burnley,4.4,67
Max Kilman,72.905174,DEF,Wolves,4.5,77
Ashley Young,71.0394,DEF,Everton,4.4,71
Mads Roerslev Rasmussen,70.52661,DEF,Brentford,4.4,73
Jayden Bogle,69.55896,DEF,Sheffield Utd,4.5,63
Nélson Cabral Semedo,68.38269,DEF,Wolves,4.5,63
Nathan Aké,67.86226,DEF,Man City,5.0,70
Calvin Bassey,67.67616,DEF,Fulham,4.4,66
Tosin Adarabioyo,64.7903,DEF,Fulham,4.3,65
Murillo Santiago Costa dos Santos,60.240246,DEF,Nott'm Forest,4.5,58
Craig Dawson,59.804012,DEF,Wolves,4.5,69
Takehiro Tomiyasu,59.716618,DEF,Arsenal,4.5,70
Benjamin White,59.489365,DEF,Arsenal,5.6,66
Manuel Akanji,57.392925,DEF,Man City,4.9,58
Chris Richards,57.113087,DEF,Crystal Palace,3.9,62
Victor Lindelöf,56.881546,DEF,Man Utd,4.5,62
Joel Ward,55.963497,DEF,Crystal Palace,4.5,54
Alfie Doughty,55.180344,DEF,Luton,4.4,59
Vladimír Coufal,55.040844,DEF,West Ham,4.6,53
Willy Boly,53.939903,DEF,Nott'm Forest,4.5,58
Ethan Pinnock,53.714474,DEF,Brentford,4.5,59
Jakub Kiwior,53.31457,DEF,Arsenal,4.3,58
Kyle Walker,52.442066,DEF,Man City,5.3,52
Ibrahima Konaté,52.42869,DEF,Liverpool,4.9,52
Daniel Muñoz,51.640186,DEF,Crystal Palace,4.5,56
John Stones,51.19804,DEF,Man City,5.3,53
Joe Gomez,50.8378,DEF,Liverpool,4.5,59
Illia Zabarnyi,50.819523,DEF,Bournemouth,4.5,40
Harry Maguire,50.389202,DEF,Man Utd,4.2,60
Victor da Silva,49.904087,DEF,Burnley,4.4,59
Emerson Palmieri dos Santos,49.632977,DEF,West Ham,4.5,56
Joachim Andersen,49.314716,DEF,Crystal Palace,4.7,62
Antonee Robinson,49.17014,DEF,Fulham,4.4,48
Trent Alexander-Arnold,49.134903,DEF,Liverpool,7.9,55
Diego Carlos Santos Silva,48.24685,DEF,Aston Villa,4.4,51
Gabriel Osho,47.599785,DEF,Luton,4.4,41
Pau Torres,46.856083,DEF,Aston Villa,4.6,46
Harry Toffolo,46.727673,DEF,Nott'm Forest,4.4,52
Vitalii Mykolenko,46.651737,DEF,Everton,4.6,39
Marcos Senesi,46.58177,DEF,Bournemouth,4.4,45
Lloyd Kelly,46.33694,DEF,Bournemouth,4.5,48
Jarell Quansah,46.2365,DEF,Liverpool,4.0,49
Olu Aina,46.068207,DEF,Nott'm Forest,4.5,45
Jonny Evans,45.71186,DEF,Man Utd,4.0,49
Rayan Aït-Nouri,45.540836,DEF,Wolves,4.5,57
Marc Guéhi,44.789852,DEF,Crystal Palace,4.5,45
Lewis Dunk,44.75678,DEF,Brighton,5.0,50
Kristoffer Ajer,43.9718,DEF,Brentford,4.4,46
Andrew Robertson,42.39011,DEF,Liverpool,6.5,53
Tim Ream,42.06442,DEF,Fulham,4.5,39
Trevoh Chalobah,41.665936,DEF,Chelsea,4.3,39
Marc Cucurella Saseta,41.035244,DEF,Chelsea,4.8,37
Milos Kerkez,40.353046,DEF,Bournemouth,4.4,46
Reece Burke,40.083584,DEF,Luton,4.0,40
James Tarkowski,39.404255,DEF,Everton,4.6,46
Micky van de Ven,39.17271,DEF,Spurs,4.4,38
Teden Mengi,39.14385,DEF,Luton,3.9,39
Diogo Dalot Teixeira,38.88733,DEF,Man Utd,5.2,36
Dan Burn,38.795704,DEF,Newcastle,4.5,44
Sergio Reguilón,38.7122,DEF,Brentford,4.4,37
Ben Mee,38.52925,DEF,Brentford,4.8,36
Sven Botman,37.81705,DEF,Newcastle,4.5,39
Anel Ahmedhodžić,37.561787,DEF,Sheffield Utd,4.3,29
Konstantinos Mavropanos,37.51649,DEF,West Ham,4.5,40
Oleksandr Zinchenko,37.476597,DEF,Arsenal,4.9,43
Jarrad Branthwaite,37.20647,DEF,Everton,4.1,42
Fabian Schär,36.648518,DEF,Newcastle,5.2,44
William Saliba,36.2539,DEF,Arsenal,5.9,33
Benoît Badiashile,36.23327,DEF,Chelsea,4.4,35
Jan Paul van Hecke,35.42291,DEF,Brighton,4.0,44
Nayef Aguerd,34.98432,DEF,West Ham,4.5,33
Aaron Wan-Bissaka,33.87026,DEF,Man Utd,4.4,32
Lucas Digne,33.74757,DEF,Aston Villa,4.6,37
Igor Julio dos Santos de Paulo,33.028732,DEF,Brighton,4.3,37
Axel Disasi,32.8401,DEF,Chelsea,4.9,31
Joško Gvardiol,32.372868,DEF,Man City,5.1,35
Moussa Niakhaté,32.149788,DEF,Nott'm Forest,4.5,29
Cristian Romero,32.107327,DEF,Spurs,4.9,34
Lorenz Assignon,32.09111,DEF,Burnley,4.0,25
Mathias Jorgensen,31.729155,DEF,Brentford,4.3,28
Levi Colwill,31.588913,DEF,Chelsea,4.5,40
Ben Godfrey,31.291632,DEF,Everton,4.3,36
Destiny Udogie,31.151659,DEF,Spurs,4.8,30
Auston Trusty,30.92003,DEF,Sheffield Utd,3.9,27
Pedro Porro,30.37118,DEF,Spurs,5.9,33
Neco Williams,29.897345,DEF,Nott'm Forest,4.3,36
Issa Kaboré,29.855925,DEF,Luton,4.0,34
Ben Davies,29.831673,DEF,Spurs,4.3,28
Clément Lenglet,29.812563,DEF,Aston Villa,4.5,24
Emil Krafth,29.555618,DEF,Newcastle,4.4,33
Nathaniel Clyne,29.550589,DEF,Crystal Palace,4.3,34
Kieran Trippier,28.792444,DEF,Newcastle,6.7,29
Gabriel dos Santos Magalhães,28.746553,DEF,Arsenal,5.0,33
Joël Veltman,28.735163,DEF,Brighton,4.3,29
Amari'i Bell,27.823828,DEF,Luton,3.9,26
Conor Bradley,27.246775,DEF,Liverpool,4.0,29
Matt Doherty,27.036234,DEF,Wolves,4.3,40
Jordan Beyer,26.849667,DEF,Burnley,4.0,30
Seamus Coleman,26.386509,DEF,Everton,4.4,30
Lewis Hall,26.112314,DEF,Newcastle,4.2,31
Rico Lewis,25.61469,DEF,Man City,4.3,24
Luke Shaw,25.533949,DEF,Man Utd,5.2,25
Malo Gusto,25.05229,DEF,Chelsea,4.2,28
Matty Cash,25.018097,DEF,Aston Villa,4.5,28
Tom Lockyer,24.664122,DEF,Luton,4.3,21
Virgil van Dijk,24.437307,DEF,Liverpool,6.0,28
Issa Diop,24.27574,DEF,Fulham,4.5,23
Max Aarons,24.05755,DEF,Bournemouth,4.5,23
Serge Aurier,23.584883,DEF,Nott'm Forest,4.5,27
Tariq Lamptey,23.56048,DEF,Brighton,3.9,30
Raphaël Varane,22.223585,DEF,Man Utd,4.9,23
Charlie Taylor,21.789297,DEF,Burnley,4.0,27
Joel Matip,19.798834,DEF,Liverpool,4.9,21
Nathan Patterson,19.035189,DEF,Everton,4.4,22
Adam Webster,18.878202,DEF,Brighton,4.2,21
Alfie Gilchrist,18.392206,DEF,Chelsea,4.0,20
Aaron Hickey,17.787592,DEF,Brentford,4.5,17
Pervis Estupiñán,17.372355,DEF,Brighton,4.9,20
Gonzalo Montiel,17.351702,DEF,Nott'm Forest,4.4,26
Jack Robinson,17.275574,DEF,Sheffield Utd,4.3,13
Chris Mepham,16.966558,DEF,Bournemouth,4.3,15
Alexandre Moreno Lopera,16.636436,DEF,Aston Villa,5.0,23
Hugo Bueno López,16.147776,DEF,Wolves,4.4,21
Maxime Esteve,15.670567,DEF,Burnley,4.0,15
Kenny Tete,14.815681,DEF,Fulham,4.4,15
Ben Johnson,13.116852,DEF,West Ham,4.4,17
Jamaal Lascelles,12.893989,DEF,Newcastle,3.9,14
Michael Keane,12.512693,DEF,Everton,4.3,16
Konstantinos Tsimikas,12.441249,DEF,Liverpool,4.6,16
Joe Worrall,12.174511,DEF,Nott'm Forest,4.5,12
Santiago Bueno,10.719101,DEF,Wolves,4.5,13
Mads Juel Andersen,10.160028,DEF,Luton,4.0,13
Reece James,9.863674,DEF,Chelsea,5.3,10
Tino Livramento,9.819798,DEF,Newcastle,4.1,8
Ameen Al-Dakhil,9.717352,DEF,Burnley,3.8,9
Scott McKenna,9.384832,DEF,Nott'm Forest,4.5,12
Rico Henry,9.1878195,DEF,Brentford,4.5,9
Emerson Leite de Souza Junior,8.899483,DEF,Spurs,4.5,13
Andrew Omobamidele,8.856859,DEF,Nott'm Forest,4.5,11
