name,Predicted Points,position,team,value,total_points
William Saliba,167.6427,DEF,Arsenal,5.5,164
Benjamin White,154.1694,DEF,Arsenal,5.7,182
Gabriel dos Santos Magalhães,143.89374,DEF,Arsenal,5.1,149
Fabian Schär,127.69567,DEF,Newcastle,5.3,123
Joachim Andersen,126.6944,DEF,Crystal Palace,4.8,121
Virgil van Dijk,123.25438,DEF,Liverpool,6.3,117
Jarrad Branthwaite,121.18302,DEF,Everton,4.1,124
James Tarkowski,120.50961,DEF,Everton,4.5,117
Pedro Porro,118.92261,DEF,Spurs,5.5,136
Tyrick Mitchell,114.91211,DEF,Crystal Palace,4.6,119
Kyle Walker,112.420616,DEF,Man City,5.3,123
Cristian Romero,108.87337,DEF,Spurs,4.9,107
Diogo Dalot Teixeira,108.841194,DEF,Man Utd,5.1,111
Joško Gvardiol,106.737495,DEF,Man City,4.9,123
Antonee Robinson,106.21227,DEF,Fulham,4.5,104
Manuel Akanji,103.93995,DEF,Man City,5.0,112
Thiago Emiliano da Silva,103.37088,DEF,Chelsea,5.0,98
Alfie Doughty,101.87019,DEF,Luton,4.5,101
Kieran Trippier,101.71939,DEF,Newcastle,6.8,111
Trent Alexander-Arnold,99.93775,DEF,Liverpool,8.2,122
Timothy Castagne,97.469,DEF,Fulham,4.5,105
Dan Burn,95.7904,DEF,Newcastle,4.5,97
Destiny Udogie,93.53457,DEF,Spurs,4.8,79
Nathan Aké,92.84374,DEF,Man City,5.0,99
Vitalii Mykolenko,92.21316,DEF,Everton,4.5,101
Ezri Konsa Ngoyo,92.018135,DEF,Aston Villa,4.5,91
Lewis Dunk,89.83781,DEF,Brighton,5.1,89
Illia Zabarnyi,88.50559,DEF,Bournemouth,4.5,84
Marcos Senesi,86.62324,DEF,Bournemouth,4.4,102
Rúben Gato Alves Dias,84.467186,DEF,Man City,5.5,88
Micky van de Ven,81.25103,DEF,Spurs,4.5,81
Rayan Aït-Nouri,80.98995,DEF,Wolves,4.6,77
Oleksandr Zinchenko,80.87919,DEF,Arsenal,5.0,104
Nathan Collins,80.36899,DEF,Brentford,4.5,84
Max Kilman,79.856415,DEF,Wolves,4.5,82
Vladimír Coufal,79.519646,DEF,West Ham,4.6,85
Lucas Digne,78.54653,DEF,Aston Villa,4.6,85
Pau Torres,75.50997,DEF,Aston Villa,4.6,85
Matty Cash,74.67855,DEF,Aston Villa,4.7,64
Joe Gomez,74.16538,DEF,Liverpool,4.5,76
Ethan Pinnock,74.07192,DEF,Brentford,4.5,77
Toti António Gomes,73.66396,DEF,Wolves,4.4,82
