name,Predicted Points,position,team,value,total_points
Erling Haaland,232.60802,FWD,Man City,14.1,217
Ollie Watkins,225.8311,FWD,Aston Villa,8.6,228
Dominic Solanke,189.96297,FWD,Bournemouth,6.8,175
Alexander Isak,173.00478,FWD,Newcastle,7.7,172
Julián Álvarez,170.6734,FWD,Man City,6.8,158
Nicolas Jackson,154.86263,FWD,Chelsea,6.9,142
Darwin Núñez Ribeiro,153.18059,FWD,Liverpool,7.5,132
Jean-Philippe Mateta,147.47868,FWD,Crystal Palace,4.9,165
Matheus Santos Carneiro Da Cunha,134.72786,FWD,Wolves,5.6,135
Carlton Morris,132.79008,FWD,Luton,5.2,146
Yoane Wissa,122.4041,FWD,Brentford,5.8,131
João Pedro Junqueira de Jesus,109.27196,FWD,Brighton,5.3,104
Chris Wood,108.70906,FWD,Nott'm Forest,4.9,131
Antoine Semenyo,106.82526,FWD,Bournemouth,4.5,107
Dominic Calvert-Lewin,102.485016,FWD,Everton,5.8,101
Cody Gakpo,95.79266,FWD,Liverpool,7.2,106
Rasmus Højlund,91.30639,FWD,Man Utd,7.0,112
Gabriel Fernando de Jesus,86.67573,FWD,Arsenal,7.9,85
Rodrigo Muniz Carvalho,86.44565,FWD,Fulham,4.5,97
Danny Welbeck,84.71618,FWD,Brighton,5.7,79
Michail Antonio,82.43624,FWD,West Ham,5.8,78
Chiedozie Ogbene,79.48575,FWD,Luton,4.9,84
Neal Maupay,78.74769,FWD,Brentford,4.9,73
Elijah Adebayo,77.801605,FWD,Luton,4.8,94
Zeki Amdouni,73.471634,FWD,Burnley,5.3,85
Odsonne Edouard,70.89982,FWD,Crystal Palace,5.4,79
Eddie Nketiah,67.53941,FWD,Arsenal,5.4,71
Lyle Foster,66.76734,FWD,Burnley,4.8,75
Cameron Archer,63.996452,FWD,Sheffield Utd,4.4,82
Oliver McBurnie,63.681786,FWD,Sheffield Utd,5.4,66
Evan Ferguson,63.059906,FWD,Brighton,5.9,69
Raúl Jiménez,62.57287,FWD,Fulham,5.2,72
Taiwo Awoniyi,62.34348,FWD,Nott'm Forest,6.4,67
Callum Wilson,55.177555,FWD,Newcastle,7.8,69
Ivan Toney,55.02851,FWD,Brentford,8.0,57
Timo Werner,48.63547,FWD,Spurs,6.4,46
David Datro Fofana,41.67767,FWD,Burnley,5.0,50
Norberto Bercique Gomes Betuncal,41.32381,FWD,Everton,5.8,50
Enes Ünal,38.173565,FWD,Bournemouth,5.0,40
Jhon Durán,34.81482,FWD,Aston Villa,5.0,50
Jacob Brown,34.29468,FWD,Luton,4.9,39
Jay Rodriguez,33.16696,FWD,Burnley,5.3,41
Danny Ings,28.74743,FWD,West Ham,5.7,36
Christopher Nkunku,27.645273,FWD,Chelsea,7.3,29
Anthony Martial,26.264317,FWD,Man Utd,6.5,25
Armando Broja,25.499924,FWD,Chelsea,4.9,24
Cauley Woodrow,23.262474,FWD,Luton,4.3,33
Carlos Vinícius Alves Morais,21.613426,FWD,Fulham,4.7,22
Divock Origi,20.828678,FWD,Nott'm Forest,5.0,25
William Osula,13.624073,FWD,Sheffield Utd,4.3,25
Bénie Traoré,10.602197,FWD,Sheffield Utd,5.4,11
Rhian Brewster,9.521938,FWD,Sheffield Utd,4.9,11
