name,Predicted Points,position,team,value,total_points
Ollie Watkins,246.44179,FWD,Aston Villa,8.6,228
Erling Haaland,235.75017,FWD,Man City,14.1,217
Julián Álvarez,198.66805,FWD,Man City,6.8,158
Dominic Solanke,185.92381,FWD,Bournemouth,6.8,175
Alexander Isak,183.55513,FWD,Newcastle,7.7,172
Nicolas Jackson,155.82771,FWD,Chelsea,6.9,142
Jean-Philippe Mateta,154.10555,FWD,Crystal Palace,4.9,165
Darwin Núñez Ribeiro,148.072,FWD,Liverpool,7.5,132
Matheus Santos Carneiro Da Cunha,137.9287,FWD,Wolves,5.6,135
Carlton Morris,137.21158,FWD,Luton,5.2,146
Yoane Wissa,124.30581,FWD,Brentford,5.8,131
Chris Wood,120.33745,FWD,Nott'm Forest,4.9,131
João Pedro Junqueira de Jesus,116.8241,FWD,Brighton,5.3,104
Antoine Semenyo,113.02055,FWD,Bournemouth,4.5,107
Rasmus Højlund,102.41673,FWD,Man Utd,7.0,112
Cody Gakpo,101.01465,FWD,Liverpool,7.2,106
Chiedozie Ogbene,95.29496,FWD,Luton,4.9,84
Rodrigo Muniz Carvalho,94.9928,FWD,Fulham,4.5,97
Dominic Calvert-Lewin,92.69835,FWD,Everton,5.8,101
Elijah Adebayo,89.27438,FWD,Luton,4.8,94
Zeki Amdouni,88.72093,FWD,Burnley,5.3,85
Danny Welbeck,88.01339,FWD,Brighton,5.7,79
Michail Antonio,85.570755,FWD,West Ham,5.8,78
Gabriel Fernando de Jesus,83.14852,FWD,Arsenal,7.9,85
Odsonne Edouard,81.104034,FWD,Crystal Palace,5.4,79
Cameron Archer,80.77403,FWD,Sheffield Utd,4.4,82
Neal Maupay,80.049706,FWD,Brentford,4.9,73
Raúl Jiménez,80.02424,FWD,Fulham,5.2,72
Lyle Foster,75.44364,FWD,Burnley,4.8,75
Oliver McBurnie,74.37257,FWD,Sheffield Utd,5.4,66
Eddie Nketiah,70.038895,FWD,Arsenal,5.4,71
Evan Ferguson,64.55196,FWD,Brighton,5.9,69
Callum Wilson,62.522556,FWD,Newcastle,7.8,69
Taiwo Awoniyi,62.512352,FWD,Nott'm Forest,6.4,67
Timo Werner,50.68231,FWD,Spurs,6.4,46
Ivan Toney,49.694145,FWD,Brentford,8.0,57
Norberto Bercique Gomes Betuncal,47.06628,FWD,Everton,5.8,50
David Datro Fofana,46.91111,FWD,Burnley,5.0,50
Jhon Durán,38.18503,FWD,Aston Villa,5.0,50
Jacob Brown,35.1962,FWD,Luton,4.9,39
Enes Ünal,33.74578,FWD,Bournemouth,5.0,40
Jay Rodriguez,32.348904,FWD,Burnley,5.3,41
Christopher Nkunku,26.812166,FWD,Chelsea,7.3,29
Danny Ings,25.371662,FWD,West Ham,5.7,36
Armando Broja,23.263824,FWD,Chelsea,4.9,24
Cauley Woodrow,23.02202,FWD,Luton,4.3,33
Anthony Martial,23.010077,FWD,Man Utd,6.5,25
Carlos Vinícius Alves Morais,21.428793,FWD,Fulham,4.7,22
Divock Origi,21.182983,FWD,Nott'm Forest,5.0,25
William Osula,16.188457,FWD,Sheffield Utd,4.3,25
Bénie Traoré,10.052609,FWD,Sheffield Utd,5.4,11
Rhian Brewster,9.847048,FWD,Sheffield Utd,4.9,11
