name,Predicted Points,position,team,value,total_points
Ederson Santana de Moraes,110.129654,GK,Man City,5.5,99
José Malheiro de Sá,99.660034,GK,Wolves,5.0,107
Thomas Kaminski,81.07859,GK,Luton,4.5,86
Mark Flekken,77.828926,GK,Brentford,4.5,79
André Onana,73.12079,GK,Man Utd,4.8,81
Bernd Leno,65.39337,GK,Fulham,4.8,64
Jordan Pickford,61.71633,GK,Everton,4.4,63
James Trafford,60.97228,GK,Burnley,4.5,70
Bart Verbruggen,60.01022,GK,Brighton,4.4,68
Nick Pope,57.633778,GK,Newcastle,5.5,56
Guglielmo Vicario,53.6762,GK,Spurs,5.3,52
Alphonse Areola,52.965916,GK,West Ham,4.2,75
Dean Henderson,48.16138,GK,Crystal Palace,4.4,48
Wes Foderingham,47.732655,GK,Sheffield Utd,4.5,58
Norberto Murara Neto,46.591244,GK,Bournemouth,4.5,57
Sam Johnstone,43.341236,GK,Crystal Palace,4.5,43
Martin Dubravka,42.712578,GK,Newcastle,4.2,52
David Raya Martin,39.738537,GK,Arsenal,4.9,41
Alisson Ramses Becker,36.133717,GK,Liverpool,5.5,43
Matz Sels,31.65347,GK,Nott'm Forest,4.5,34
Emiliano Martínez Romero,29.111862,GK,Aston Villa,5.3,31
Đorđe Petrović,28.612429,GK,Chelsea,4.6,28
Robert Sánchez,23.117641,GK,Chelsea,4.6,37
Jason Steele,22.834286,GK,Brighton,4.2,23
Matt Turner,20.412558,GK,Nott'm Forest,4.0,27
Arijanet Muric,17.880308,GK,Burnley,4.3,47
Lukasz Fabianski,16.837519,GK,West Ham,4.2,24
Mark Travers,14.558979,GK,Bournemouth,4.0,19
Ivo Grbic,12.970222,GK,Sheffield Utd,4.5,15
Daniel Bentley,12.050093,GK,Wolves,3.9,18
Odysseas Vlachodimos,11.907396,GK,Nott'm Forest,4.5,12
Caoimhin Kelleher,10.267199,GK,Liverpool,3.7,17
Stefan Ortega Moreno,9.949906,GK,Man City,3.7,14
Aaron Ramsdale,8.930357,GK,Arsenal,5.0,11
Djordje Petrovic,7.982544,GK,Chelsea,4.5,14
Robin Olsen,5.5266247,GK,Aston Villa,3.9,15
Ionuț Radu,3.4859612,GK,Bournemouth,4.4,2
Loris Karius,3.175473,GK,Newcastle,3.9,1
Thomas Strakosha,2.5956476,GK,Brentford,3.9,4
James Shea,0.24361119,GK,Luton,4.2,1
Remi Matthews,0.17285573,GK,Crystal Palace,3.9,1
Karl Hein,0.1254294,GK,Arsenal,4.0,0
Scott Carson,0.108761445,GK,Man City,3.8,0
Zack Steffen,0.09866148,GK,Man City,3.9,0
Fabian Mrozek,0.087819844,GK,Liverpool,4.0,0
Radek Vítek,0.08572769,GK,Man Utd,4.0,0
Adrián San Miguel del Castillo,0.08241312,GK,Liverpool,3.9,0
Mark Gillespie,0.08002089,GK,Newcastle,3.9,0
Altay Bayindir,0.07776399,GK,Man Utd,4.0,0
Sam Proctor,0.075908095,GK,Aston Villa,4.0,0
James Wright,0.075226694,GK,Aston Villa,4.0,0
Tom Heaton,0.07229981,GK,Man Utd,4.0,0
Callan McKenna,0.0717262,GK,Bournemouth,4.0,0
Marcelo de Araújo Pitaluga Filho,0.07087122,GK,Liverpool,4.0,0
Ted Curd,0.0699808,GK,Chelsea,4.0,0
Joe Gauci,0.06947106,GK,Aston Villa,3.9,0
Alfie Whiteman,0.06747866,GK,Spurs,3.9,0
Eddie Beach,0.06720176,GK,Chelsea,4.0,0
Bailey Peacock-Farrell,0.066483796,GK,Burnley,4.0,0
Marek Rodák,0.06643924,GK,Fulham,4.0,-1
Jack Walton,0.06641999,GK,Luton,4.0,0
Karl Darlow,0.066379756,GK,Newcastle,4.0,0
Matthew Cox,0.06610334,GK,Brentford,4.0,0
Dermot Mee,0.06580867,GK,Man Utd,4.0,0
Viljami Sinisalo,0.0656476,GK,Aston Villa,4.0,0
Lucas Bergström,0.06500617,GK,Chelsea,4.0,0
Filip Marschall,0.06498495,GK,Aston Villa,4.0,0
Vincent Angelini,0.064724,GK,Brentford,4.0,0
Steven Benda,0.06470716,GK,Fulham,4.0,0
Brandon Austin,0.06460948,GK,Spurs,3.9,0
Rúnar Alex Rúnarsson,0.06433827,GK,Arsenal,4.0,0
Gabriel Słonina,0.06413539,GK,Chelsea,4.0,0
Andy Lonergan,0.06394544,GK,Everton,4.0,0
Oliwier Zych,0.063830584,GK,Aston Villa,4.0,0
Ethan Horvath,0.06381205,GK,Nott'm Forest,4.5,0
Kjell Scherpen,0.06376612,GK,Brighton,4.0,0
Tim Krul,0.06364557,GK,Luton,4.5,0
Hugo Lloris,0.063566804,GK,Spurs,5.0,0
João Neves Virgínia,0.0635325,GK,Everton,3.9,0
Jordan Amissah,0.063501075,GK,Sheffield Utd,4.0,0
Kepa Arrizabalaga,0.063485205,GK,Chelsea,5.0,0
Vicente Guaita,0.0634743,GK,Crystal Palace,4.5,0
Lawrence Vigouroux,0.06337491,GK,Burnley,4.0,0
Joseph Anang,0.06334597,GK,West Ham,4.0,0
Wayne Hennessey,0.063266784,GK,Nott'm Forest,4.0,0
Ellery Balcombe,0.06325236,GK,Brentford,3.9,0
George Shelvey,0.06323595,GK,Nott'm Forest,4.0,0
Darren Randolph,0.0632056,GK,Bournemouth,4.0,0
Tom McGill,0.06315142,GK,Brighton,3.9,0
Hákon Valdimarsson,0.06308085,GK,Brentford,4.0,0
Denis Franchi,0.06305221,GK,Burnley,4.0,0
Teddy Sharman-Lowe,0.06303275,GK,Chelsea,4.0,0
