name,Predicted Points,position,team,value,total_points
Jordan Pickford,143.4854,GK,Everton,4.5,153
Bernd Leno,127.441345,GK,Fulham,4.7,133
David Raya Martin,120.11621,GK,Arsenal,5.0,135
André Onana,120.052216,GK,Man Utd,4.9,133
Emiliano Martínez Romero,113.57615,GK,Aston Villa,5.1,115
Mark Flekken,111.43764,GK,Brentford,4.5,119
Guglielmo Vicario,106.5413,GK,Spurs,5.2,112
Ederson Santana de Moraes,105.681656,GK,Man City,5.5,112
Norberto Murara Neto,102.29826,GK,Bournemouth,4.6,110
Alisson Ramses Becker,94.45891,GK,Liverpool,5.6,107
José Malheiro de Sá,92.477325,GK,Wolves,5.0,107
Alphonse Areola,87.74768,GK,West Ham,4.2,116
Thomas Kaminski,75.60763,GK,Luton,4.5,86
Martin Dubravka,68.21682,GK,Newcastle,4.2,75
James Trafford,63.123753,GK,Burnley,4.5,70
Sam Johnstone,62.952618,GK,Crystal Palace,4.5,68
Bart Verbruggen,59.6841,GK,Brighton,4.4,68
Đorđe Petrović,58.86342,GK,Chelsea,4.6,57
Wes Foderingham,57.529453,GK,Sheffield Utd,4.5,70
Robert Sánchez,52.066154,GK,Chelsea,4.6,59
Nick Pope,51.61794,GK,Newcastle,5.5,57
Dean Henderson,51.462605,GK,Crystal Palace,4.4,48
Jason Steele,45.89168,GK,Brighton,4.3,42
Matt Turner,43.61011,GK,Nott'm Forest,4.0,42
Matz Sels,35.27601,GK,Nott'm Forest,4.5,34
Caoimhin Kelleher,32.531517,GK,Liverpool,3.8,34
Arijanet Muric,32.164845,GK,Burnley,4.3,47
Lukasz Fabianski,19.98835,GK,West Ham,4.2,24
Stefan Ortega Moreno,19.832533,GK,Man City,3.7,22
Ivo Grbic,17.60058,GK,Sheffield Utd,4.5,15
Aaron Ramsdale,17.089449,GK,Arsenal,4.9,20
Mark Travers,15.960644,GK,Bournemouth,4.0,19
Daniel Bentley,15.020334,GK,Wolves,3.9,18
Odysseas Vlachodimos,14.276858,GK,Nott'm Forest,4.5,12
Robin Olsen,14.024378,GK,Aston Villa,3.9,17
Djordje Petrovic,12.470212,GK,Chelsea,4.5,14
