name,Predicted Points,position,team,value,total_points
Rodrigo Hernandez,170.86275,MID,Man City,5.6,146
Bruno Guimarães Rodriguez Moura,157.68233,MID,Newcastle,5.8,147
Brennan Johnson,133.9835,MID,Spurs,5.8,122
Dwight McNeil,133.94174,MID,Everton,5.4,124
Conor Gallagher,132.58798,MID,Chelsea,5.4,118
Leandro Trossard,128.83086,MID,Arsenal,6.5,116
Declan Rice,125.28566,MID,Arsenal,5.4,114
Morgan Gibbs-White,123.93197,MID,Nott'm Forest,5.7,117
Abdoulaye Doucouré,118.511086,MID,Everton,5.5,115
Justin Kluivert,106.92473,MID,Bournemouth,4.6,91
Tomáš Souček,101.37259,MID,West Ham,4.9,106
Lucas Tolentino Coelho de Lima,100.75905,MID,West Ham,6.0,100
Kai Havertz,99.96707,MID,Arsenal,7.1,102
Willian Borges da Silva,99.46481,MID,Fulham,5.3,93
Jack Harrison,98.73154,MID,Everton,5.5,92
Andreas Hoelgebaum Pereira,98.71237,MID,Fulham,5.3,93
John McGinn,96.877754,MID,Aston Villa,5.5,96
Harvey Elliott,94.725174,MID,Liverpool,4.8,92
Martin Ødegaard,93.492905,MID,Arsenal,8.5,84
Ryan Christie,91.9713,MID,Bournemouth,5.0,90
Alex Iwobi,91.730255,MID,Fulham,5.3,88
Mykhailo Mudryk,91.380585,MID,Chelsea,6.3,89
João Palhinha Gonçalves,90.7726,MID,Fulham,5.0,91
Simon Adingra,89.70975,MID,Brighton,5.0,97
Pablo Sarabia,89.50568,MID,Wolves,4.7,87
Kobbie Mainoo,88.71321,MID,Man Utd,4.4,77
Callum Hudson-Odoi,88.34976,MID,Nott'm Forest,4.7,87
Jordan Ayew,84.180695,MID,Crystal Palace,5.4,83
Jacob Murphy,84.04916,MID,Newcastle,4.8,78
Bukayo Saka,83.96916,MID,Arsenal,9.0,83
Leon Bailey,82.941734,MID,Aston Villa,5.5,81
James Garner,82.800835,MID,Everton,4.9,80
Lewis Cook,81.94626,MID,Bournemouth,5.0,71
Eberechi Eze,81.782646,MID,Crystal Palace,6.0,83
Noni Madueke,78.52515,MID,Chelsea,5.3,74
Anthony Elanga,78.166565,MID,Nott'm Forest,5.0,81
Marcus Tavernier,77.70482,MID,Bournemouth,5.4,79
Harry Wilson,75.82208,MID,Fulham,5.3,78
Gabriel Martinelli Silva,75.3954,MID,Arsenal,7.7,73
Alexis Mac Allister,74.53578,MID,Liverpool,5.8,70
Bruno Borges Fernandes,74.144005,MID,Man Utd,8.2,75
Wilson Odobert,73.198456,MID,Burnley,5.0,82
Mario Lemina,71.301575,MID,Wolves,4.9,84
Mathias Jensen,70.97832,MID,Brentford,5.4,72
Ben Brereton,70.93677,MID,Sheffield Utd,5.0,62
James McAtee,70.01598,MID,Sheffield Utd,4.4,76
Idrissa Gueye,68.888824,MID,Everton,4.8,62
Will Hughes,68.439095,MID,Crystal Palace,4.9,61
Nicolás Domínguez,65.05324,MID,Nott'm Forest,5.0,67
Youri Tielemans,64.91867,MID,Aston Villa,5.6,61
João Victor Gomes da Silva,64.64957,MID,Wolves,4.9,69
Marcus Rashford,63.875023,MID,Man Utd,8.4,60
Sean Longstaff,63.800533,MID,Newcastle,4.8,65
Dejan Kulusevski,62.943428,MID,Spurs,7.0,64
Edson Álvarez Velázquez,62.58179,MID,West Ham,5.0,62
Tom Cairney,61.12548,MID,Fulham,4.9,67
Hwang Hee-chan,60.461224,MID,Wolves,5.4,56
Pascal Groß,60.396145,MID,Brighton,6.3,58
James Ward-Prowse,59.9593,MID,West Ham,6.0,58
Josh Cullen,59.060112,MID,Burnley,5.0,65
Vini de Souza Costa,59.045963,MID,Sheffield Utd,5.0,73
Gustavo Hamer,58.748512,MID,Sheffield Utd,5.0,60
Facundo Buonanotte,57.84962,MID,Brighton,4.7,55
Enzo Fernández,57.831417,MID,Chelsea,4.8,60
Dominik Szoboszlai,57.779785,MID,Liverpool,7.1,55
Keane Lewis-Potter,57.714245,MID,Brentford,4.7,65
Yves Bissouma,55.720528,MID,Spurs,5.0,44
Ross Barkley,55.62002,MID,Luton,4.9,60
Scott McTominay,54.93781,MID,Man Utd,4.8,52
Josh Brownhill,54.9129,MID,Burnley,4.7,57
Douglas Luiz Soares de Paulo,54.671394,MID,Aston Villa,5.5,64
Adam Wharton,53.68514,MID,Crystal Palace,5.0,50
Jefferson Lerma Solís,53.01501,MID,Crystal Palace,4.7,55
Vitaly Janelt,51.96686,MID,Brentford,5.3,53
Wataru Endo,51.554066,MID,Liverpool,5.4,42
Andros Townsend,50.850487,MID,Luton,5.0,61
Michael Olise,50.713085,MID,Crystal Palace,5.8,55
Jérémy Doku,50.62962,MID,Man City,6.5,55
Bernardo Veiga de Carvalho e Silva,50.336594,MID,Man City,6.4,48
Phil Foden,50.191822,MID,Man City,7.6,50
Danilo dos Santos de Oliveira,49.82498,MID,Nott'm Forest,5.3,58
Mohammed Kudus,49.68935,MID,West Ham,6.8,50
Moisés Caicedo Corozo,49.01456,MID,Chelsea,4.5,50
Boubacar Kamara,48.754047,MID,Aston Villa,5.0,40
Jacob Bruun Larsen,48.68939,MID,Burnley,4.8,49
Lewis Miley,47.18036,MID,Newcastle,4.5,44
Harvey Barnes,46.577778,MID,Newcastle,6.2,47
Mohamed Salah,46.247555,MID,Liverpool,12.5,44
Orel Mangala,46.229008,MID,Nott'm Forest,5.0,40
Kaoru Mitoma,45.550526,MID,Brighton,6.5,54
Luis Díaz,44.86649,MID,Liverpool,7.5,49
Raheem Sterling,43.89727,MID,Chelsea,7.0,48
Albert Sambi Lokonga,43.30016,MID,Luton,4.9,47
Bryan Mbeumo,43.266163,MID,Brentford,6.7,47
Dango Ouattara,43.129467,MID,Bournemouth,4.7,48
Morgan Rogers,43.11092,MID,Aston Villa,5.0,35
Tahith Chong,42.85854,MID,Luton,4.7,43
Ryan Gravenberch,42.22106,MID,Liverpool,5.0,45
Joelinton Cássio Apolinário de Lira,42.052567,MID,Newcastle,5.8,40
Billy Gilmour,41.839985,MID,Brighton,4.9,39
Jack Grealish,41.357037,MID,Man City,7.2,36
Luca Koleosho,41.30268,MID,Burnley,5.0,40
Curtis Jones,41.132626,MID,Liverpool,4.9,39
Jeffrey Schlupp,41.0872,MID,Crystal Palace,4.9,38
Moussa Diaby,41.00113,MID,Aston Villa,6.3,45
Amadou Onana,39.926846,MID,Everton,4.7,44
Jarrod Bowen,39.81387,MID,West Ham,7.7,43
Luis Sinisterra,39.71152,MID,Bournemouth,5.5,43
Jack Hinshelwood,39.613354,MID,Brighton,4.5,42
Jean-Ricner Bellegarde,39.33789,MID,Wolves,4.9,45
Alex Scott,38.850643,MID,Bournemouth,4.9,41
Giovani Lo Celso,38.835148,MID,Spurs,4.8,46
Anthony Gordon,38.517773,MID,Newcastle,6.1,37
Frank Onyeka,38.146637,MID,Brentford,4.9,39
Jorge Luiz Frello Filho,37.908344,MID,Arsenal,5.3,35
Rodrigo Bentancur,37.894077,MID,Spurs,5.4,32
Jordan Clark,37.10093,MID,Luton,4.8,44
Mikkel Damsgaard,36.942116,MID,Brentford,4.8,43
Carlos Henrique Casimiro,36.30561,MID,Man Utd,5.3,37
Jóhann Berg Gudmundsson,36.264957,MID,Burnley,4.8,41
Philip Billing,35.832703,MID,Bournemouth,5.2,32
Ryan Yates,35.581024,MID,Nott'm Forest,4.8,42
