name,Predicted Points,position,team,value,total_points
Bukayo Saka,246.9943,MID,Arsenal,8.9,226
Cole Palmer,245.93826,MID,Chelsea,5.6,243
Phil Foden,233.20728,MID,Man City,7.8,230
Mohamed Salah,224.68196,MID,Liverpool,13.0,211
Son Heung-min,221.60812,MID,Spurs,9.6,213
Martin Ødegaard,201.94124,MID,Arsenal,8.5,186
Bruno Borges Fernandes,192.96786,MID,Man Utd,8.3,166
Anthony Gordon,182.6834,MID,Newcastle,5.9,183
Jarrod Bowen,175.49796,MID,West Ham,7.6,182
Kai Havertz,162.99437,MID,Arsenal,7.2,180
Rodrigo Hernandez,156.42032,MID,Man City,5.6,159
Pascal Groß,155.3563,MID,Brighton,6.4,153
Declan Rice,152.92166,MID,Arsenal,5.4,165
Luis Díaz,150.21799,MID,Liverpool,7.5,142
Bruno Guimarães Rodriguez Moura,146.19855,MID,Newcastle,5.8,153
Morgan Gibbs-White,145.83646,MID,Nott'm Forest,5.8,142
Leon Bailey,143.8132,MID,Aston Villa,5.6,148
Bernardo Veiga de Carvalho e Silva,140.52145,MID,Man City,6.3,141
Dejan Kulusevski,137.76045,MID,Spurs,6.9,130
Eberechi Eze,134.08456,MID,Crystal Palace,6.1,136
James Maddison,133.04291,MID,Spurs,7.9,117
Andreas Hoelgebaum Pereira,132.8305,MID,Fulham,5.4,127
Moussa Diaby,129.842,MID,Aston Villa,6.5,142
Douglas Luiz Soares de Paulo,129.2349,MID,Aston Villa,5.5,148
Conor Gallagher,128.92694,MID,Chelsea,5.4,129
Alejandro Garnacho,125.78011,MID,Man Utd,4.9,131
Brennan Johnson,124.70739,MID,Spurs,5.8,125
James Ward-Prowse,124.20329,MID,West Ham,6.0,146
Dwight McNeil,123.47845,MID,Everton,5.4,124
Hwang Hee-chan,121.69842,MID,Wolves,5.5,125
Bryan Mbeumo,121.354675,MID,Brentford,6.8,127
Mohammed Kudus,117.21246,MID,West Ham,6.7,137
Gabriel Martinelli Silva,117.092766,MID,Arsenal,7.7,118
Leandro Trossard,116.06421,MID,Arsenal,6.5,138
Tomáš Souček,112.67627,MID,West Ham,4.9,116
Raheem Sterling,111.609055,MID,Chelsea,7.0,123
Kevin De Bruyne,110.7805,MID,Man City,10.6,98
Michael Olise,110.723694,MID,Crystal Palace,5.7,125
Jérémy Doku,109.6702,MID,Man City,6.5,98
Abdoulaye Doucouré,109.267715,MID,Everton,5.5,116
Anthony Elanga,107.95869,MID,Nott'm Forest,5.0,119
John McGinn,106.58565,MID,Aston Villa,5.5,119
Sean Longstaff,106.51085,MID,Newcastle,4.9,110
Pablo Sarabia,102.6903,MID,Wolves,4.7,99
Ross Barkley,100.242226,MID,Luton,4.9,101
Scott McTominay,98.8859,MID,Man Utd,4.7,98
Alexis Mac Allister,98.796196,MID,Liverpool,5.9,109
Gustavo Hamer,98.4945,MID,Sheffield Utd,5.0,108
Justin Kluivert,97.91836,MID,Bournemouth,4.7,100
Jordan Ayew,97.63687,MID,Crystal Palace,5.4,109
Dominik Szoboszlai,97.50433,MID,Liverpool,7.1,99
Lucas Tolentino Coelho de Lima,96.80613,MID,West Ham,6.0,100
Marcus Rashford,96.30718,MID,Man Utd,8.6,108
Bobby De Cordova-Reid,95.78564,MID,Fulham,5.4,92
Simon Adingra,94.908875,MID,Brighton,5.0,97
Richarlison de Andrade,92.12848,MID,Spurs,6.8,122
Callum Hudson-Odoi,91.72675,MID,Nott'm Forest,4.7,109
Harry Wilson,91.40258,MID,Fulham,5.3,94
Marcus Tavernier,90.900246,MID,Bournemouth,5.4,89
Alex Iwobi,90.74197,MID,Fulham,5.3,99
Pape Matar Sarr,89.75651,MID,Spurs,4.5,86
Harvey Elliott,87.83494,MID,Liverpool,4.8,96
Jack Harrison,87.325966,MID,Everton,5.5,92
Pedro Lomba Neto,86.33761,MID,Wolves,5.6,86
Vitaly Janelt,86.125755,MID,Brentford,5.3,93
Jacob Murphy,85.34695,MID,Newcastle,4.8,82
Mario Lemina,84.81836,MID,Wolves,4.9,95
Diogo Teixeira da Silva,84.55363,MID,Liverpool,7.9,110
João Palhinha Gonçalves,84.54611,MID,Fulham,5.0,91
Mykhailo Mudryk,84.41587,MID,Chelsea,6.3,94
Tahith Chong,84.28108,MID,Luton,4.7,78
Wilson Odobert,83.33664,MID,Burnley,5.0,82
Willian Borges da Silva,82.56581,MID,Fulham,5.3,94
Mathias Jensen,81.98035,MID,Brentford,5.4,98
Enzo Fernández,81.926796,MID,Chelsea,4.9,77
Noni Madueke,80.56451,MID,Chelsea,5.3,76
Miguel Almirón Rejala,79.893135,MID,Newcastle,6.2,77
Kobbie Mainoo,79.88593,MID,Man Utd,4.4,77
Josh Brownhill,79.59974,MID,Burnley,4.7,78
Ryan Christie,79.48256,MID,Bournemouth,5.0,90
Moisés Caicedo Corozo,76.838554,MID,Chelsea,4.6,84
Youri Tielemans,75.536415,MID,Aston Villa,5.7,77
Jacob Bruun Larsen,75.25723,MID,Burnley,4.9,82
Christian Nørgaard,74.868935,MID,Brentford,5.4,74
James Garner,74.6975,MID,Everton,4.9,87
Lewis Cook,74.56266,MID,Bournemouth,5.0,77
Ben Brereton,71.705154,MID,Sheffield Utd,5.0,62
Tom Cairney,71.0002,MID,Fulham,4.9,70
Kaoru Mitoma,69.530014,MID,Brighton,6.5,74
Philip Billing,69.373726,MID,Bournemouth,5.2,60
James McAtee,68.8179,MID,Sheffield Utd,4.4,76
Mateo Kovačić,67.816414,MID,Man City,4.7,59
Jeffrey Schlupp,67.56304,MID,Crystal Palace,4.9,66
Nicolás Domínguez,66.99413,MID,Nott'm Forest,5.0,67
Keane Lewis-Potter,65.93832,MID,Brentford,4.7,73
João Victor Gomes da Silva,65.47759,MID,Wolves,4.9,75
Idrissa Gueye,65.45571,MID,Everton,4.8,73
Danilo dos Santos de Oliveira,63.90957,MID,Nott'm Forest,5.3,65
Dango Ouattara,63.86187,MID,Bournemouth,4.7,56
Carlos Henrique Casimiro,62.12925,MID,Man Utd,5.3,58
Billy Gilmour,61.18368,MID,Brighton,4.9,61
Jefferson Lerma Solís,61.100807,MID,Crystal Palace,4.7,64
Amadou Onana,60.51433,MID,Everton,4.8,66
Sander Berge,59.36079,MID,Burnley,4.7,74
Harvey Barnes,58.68629,MID,Newcastle,6.3,64
Facundo Buonanotte,58.06666,MID,Brighton,4.7,57
Will Hughes,58.06513,MID,Crystal Palace,4.9,61
Josh Cullen,57.43477,MID,Burnley,5.0,65
Vini de Souza Costa,57.099743,MID,Sheffield Utd,5.0,73
Adam Wharton,56.58689,MID,Crystal Palace,5.0,50
Andros Townsend,52.850605,MID,Luton,5.0,61
Ryan Yates,52.630196,MID,Nott'm Forest,4.8,59
Edson Álvarez Velázquez,51.562077,MID,West Ham,5.0,62
Joelinton Cássio Apolinário de Lira,50.71904,MID,Newcastle,5.8,45
Ryan Gravenberch,49.438164,MID,Liverpool,5.0,45
Lewis Miley,47.767998,MID,Newcastle,4.5,44
Christian Eriksen,47.50541,MID,Man Utd,5.9,48
Jóhann Berg Gudmundsson,46.898506,MID,Burnley,4.8,48
Elliot Anderson,45.463654,MID,Newcastle,4.3,42
Yves Bissouma,45.211166,MID,Spurs,5.0,44
Jack Grealish,44.583427,MID,Man City,7.2,50
Luis Sinisterra,43.51844,MID,Bournemouth,5.5,43
Jorge Luiz Frello Filho,43.034737,MID,Arsenal,5.3,44
Curtis Jones,41.683907,MID,Liverpool,4.9,40
Frank Onyeka,41.34472,MID,Brentford,4.9,39
Jack Hinshelwood,41.315742,MID,Brighton,4.5,42
Antony Matheus dos Santos,41.28254,MID,Man Utd,6.8,47
Giovani Lo Celso,41.00129,MID,Spurs,4.8,47
Jean-Ricner Bellegarde,40.603577,MID,Wolves,4.9,45
Mikkel Damsgaard,40.461575,MID,Brentford,4.8,45
Albert Sambi Lokonga,40.27924,MID,Luton,4.9,47
Wataru Endo,40.23765,MID,Liverpool,5.4,47
Alex Scott,39.65278,MID,Bournemouth,4.9,41
Pierre-Emile Højbjerg,38.55531,MID,Spurs,5.2,39
Luca Koleosho,37.822407,MID,Burnley,5.0,40
Harrison Reed,37.601578,MID,Fulham,4.6,47
Oliver Norwood,37.33107,MID,Sheffield Utd,4.8,42
Saša Lukić,36.98038,MID,Fulham,4.4,43
Rodrigo Bentancur,36.80376,MID,Spurs,5.4,32
Orel Mangala,36.18969,MID,Nott'm Forest,5.0,40
Solly March,35.918503,MID,Brighton,6.5,39
Jordan Clark,35.761982,MID,Luton,4.8,44
Boubacar Kamara,35.314995,MID,Aston Villa,5.0,40
Tommy Doyle,33.984352,MID,Wolves,4.4,38
Morgan Rogers,33.84024,MID,Aston Villa,5.0,35
Matheus Luiz Nunes,32.17001,MID,Man City,4.8,31
Nicolò Zaniolo,31.395178,MID,Aston Villa,5.4,34
Ben Osborn,30.861626,MID,Sheffield Utd,4.8,38
Adama Traoré,30.797028,MID,Fulham,4.9,36
Anssumane Fati Vieira,30.49405,MID,Brighton,6.4,33
James Milner,30.388145,MID,Brighton,4.9,28
Carlos Baleba,30.3815,MID,Brighton,4.5,34
Kevin Schade,29.209253,MID,Brentford,5.3,33
Thomas Partey,27.767715,MID,Arsenal,4.8,24
Adam Lallana,25.60668,MID,Brighton,4.9,30
Saman Ghoddos,24.533442,MID,Brentford,4.5,26
Jacob Ramsey,24.480656,MID,Aston Villa,5.9,29
Cheick Doucouré,23.978376,MID,Crystal Palace,5.0,21
Yegor Yarmoliuk,23.64635,MID,Brentford,4.3,30
Arnaut Danjuma Groeneveld,23.575863,MID,Everton,5.4,26
Emile Smith Rowe,22.653786,MID,Arsenal,5.3,25
Ibrahim Sangaré,22.592451,MID,Nott'm Forest,5.0,25
Amad Diallo,21.965101,MID,Man Utd,4.4,23
Sofyan Amrabat,21.936274,MID,Man Utd,5.0,26
Marvelous Nakamba,21.426365,MID,Luton,4.4,21
Saïd Benrahma,20.684374,MID,West Ham,5.8,20
Luke Berry,20.596766,MID,Luton,4.6,31
Pelly Ruddock Mpanzu,18.969805,MID,Luton,4.8,35
Julio Enciso,18.86744,MID,Brighton,5.1,20
Boubacar Traoré,18.550392,MID,Wolves,4.3,25
Oliver Arblaster,18.20071,MID,Sheffield Utd,4.5,19
Mason Mount,18.050669,MID,Man Utd,6.8,23
Oliver Skipp,17.596863,MID,Spurs,4.6,22
Joe Willock,17.111103,MID,Newcastle,5.3,18
André Tavares Gomes,16.977486,MID,Everton,4.4,20
Sandro Tonali,16.125761,MID,Newcastle,5.5,16
Jakub Moder,14.540743,MID,Brighton,4.4,21
Andre Brooks,13.965271,MID,Sheffield Utd,4.4,26
Pablo Fornals Malla,13.630437,MID,West Ham,4.8,19
Mahmoud Dahoud,12.812876,MID,Brighton,4.9,14
Mike Trésor,11.937659,MID,Burnley,5.4,20
Naouirou Ahamada,10.8538265,MID,Crystal Palace,4.3,16
Aaron Ramsey,10.7212,MID,Burnley,5.0,18
Joe Rothwell,10.493767,MID,Bournemouth,4.9,13
