name,Predicted Points,position,team,value,total_points
Jordan Pickford,151.30783,GK,Everton,4.5,153
Bernd Leno,137.56721,GK,Fulham,4.7,133
William Saliba,167.6427,DEF,Arsenal,5.5,164
Benjamin White,154.1694,DEF,Arsenal,5.7,182
Gabriel dos Santos Magalhães,143.89374,DEF,Arsenal,5.1,149
Fabian Schär,127.69567,DEF,Newcastle,5.3,123
Joachim Andersen,126.6944,DEF,Crystal Palace,4.8,121
Bukayo Saka,246.9943,MID,Arsenal,8.9,226
Cole Palmer,245.93826,MID,Chelsea,5.6,243
Phil Foden,233.20728,MID,Man City,7.8,230
Mohamed Salah,224.68196,MID,Liverpool,13.0,211
Son Heung-min,221.60812,MID,Spurs,9.6,213
Erling Haaland,229.08656,FWD,Man City,14.1,217
Ollie Watkins,226.82405,FWD,Aston Villa,8.6,228
Julián Álvarez,185.92828,FWD,Man City,6.8,158
