name,Predicted Points,position,team,value,total_points
Jordan Pickford,139.117,GK,Everton,4.5,153
Bernd Leno,128.31483,GK,Fulham,4.7,133
William Saliba,149.44656,DEF,Arsenal,5.5,164
Benjamin White,144.22202,DEF,Arsenal,5.7,182
Gabriel dos Santos Magalhães,128.92218,DEF,Arsenal,5.1,149
Fabian Schär,118.66613,DEF,Newcastle,5.3,123
Pedro Porro,116.89364,DEF,Spurs,5.5,136
Cole Palmer,245.55846,MID,Chelsea,5.6,243
Bukayo Saka,233.00667,MID,Arsenal,8.9,226
Phil Foden,225.10733,MID,Man City,7.8,230
Mohamed Salah,212.4717,MID,Liverpool,13.0,211
Son Heung-min,203.79002,MID,Spurs,9.6,213
Erling Haaland,232.60802,FWD,Man City,14.1,217
Ollie Watkins,225.8311,FWD,Aston Villa,8.6,228
Dominic Solanke,189.96297,FWD,Bournemouth,6.8,175
