name,position,team,total_points,value
Jordan Pickford,GK,Everton,153,4.5
David Raya Martin,GK,Arsenal,135,5.0
Benjamin White,DEF,Arsenal,182,5.7
William Saliba,DEF,Arsenal,164,5.5
Gabriel dos Santos Magalhães,DEF,Arsenal,149,5.1
Pedro Porro,DEF,Spurs,136,5.5
Jarrad Branthwaite,DEF,Everton,124,4.1
Cole Palmer,MID,Chelsea,243,5.6
Phil Foden,MID,Man City,230,7.8
Bukayo Saka,MID,Arsenal,226,8.9
Son Heung-min,MID,Spurs,213,9.6
Mohamed Salah,MID,Liverpool,211,13.0
Ollie Watkins,FWD,Aston Villa,228,8.6
Erling Haaland,FWD,Man City,217,14.1
Dominic Solanke,FWD,Bournemouth,175,6.8
