First Name,Second Name,position,Total Points,Value (0.1m)
Matz,Sels,Goalkeeper,148,5.2
Jordan,Pickford,Goalkeeper,147,5.2
Trent,Alexander-Arnold,Defender,147,7.2
Joško,Gvardiol,Defender,145,6.5
Nikola,Milenković,Defender,143,5.2
Virgil,van Dijk,Defender,142,6.7
Daniel,Muñoz,Defender,140,5.2
Mohamed,Salah,Midfielder,334,13.6
Bryan,Mbeumo,Midfielder,228,8.3
Cole,Palmer,Midfielder,211,10.5
Luis,Díaz,Midfielder,181,7.5
Jarrod,Bowen,Midfielder,180,7.9
Alexander,Isak,Forward,209,9.4
Chris,Wood,Forward,198,7.2
Ollie,Watkins,Forward,184,9.1
